ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query,Status,Rows Impacted,Analysis comment
90,"['Q78r1', 'Q78r2', 'Q78r3', 'Q78r4', 'Q78r5', 'Q78r6', 'Q78r7', 'Q78r8', 'Q78r9', 'Q78r10', 'Q78r96', 'Q78r98']","[Q75, Q76]",Block/Force,Multi to Multi,"Ask Q78 group if Q75 is in [”Quickly shifting towards using less cash”, “Slowing shifting towards using less cash” ] AND Q76  NOT in [A bad thing', 'A very bad thing’]",No,"df_check = df[(~df[""Q75""].isin([""Quickly shifting towards using less cash"", ""Slowing shifting towards using less cash""]) | ~df[""Q76""].isin(['A bad thing', 'A very bad thing'])) & df[['Q78r1','Q78r2','Q78r3','Q78r4','Q78r5','Q78r6','Q78r7','Q78r8','Q78r9','Q78r10','Q78r96','Q78r98']].notna().any(axis=1)][['Q78r1','Q78r2','Q78r3','Q78r4','Q78r5','Q78r6','Q78r7','Q78r8','Q78r9','Q78r10','Q78r96','Q78r98']]
",Not Implemented,53,"Block with AND "
91,Q78r98,"['Q78r1', 'Q78r2', 'Q78r3', 'Q78r4', 'Q78r5', 'Q78r6', 'Q78r7', 'Q78r8', 'Q78r9', 'Q78r10', 'Q78r96', 'Q78r98']",None of the above,,None of the above,Yes,,,,
92,Q78B,Q78A,Block/Force,Single to Single,Block Q76B if Q76A is NOT “Yes”,Yes,,,,
95,"['Q78Byesr1', 'Q78Byesr2', 'Q78Byesr3', 'Q78Byesr4', 'Q78Byesr96']",,MultiSelect,,,,,,,
94,"['Q78Byesr1', 'Q78Byesr2', 'Q78Byesr3', 'Q78Byesr4', 'Q78Byesr96']",Q78B,Block/Force,Single to Multi,Block Q78Byes if Q78B not “yes”,Yes,,,,
93,Q85,Q39,Block/Force,Single to Single,Block Q59 group if Q39 is NOT  “Coins only” or “A combination of coins and bills”,Yes,,,,
96,"['Q85yesr1', 'Q85yesr2', 'Q85yesr3', 'Q85yesr4', 'Q85yesr96', 'Q85yesr98']",,MultiSelect,,,,,,,
97,"['Q85yesr1', 'Q85yesr2', 'Q85yesr3', 'Q85yesr4', 'Q85yesr96', 'Q85yesr98']",Q85,Block/Force,Single to Multi,Block Q85yes if Q85 not “yes”,Yes,,,,
98,"['Q86yesr1', 'Q86yesr2', 'Q86yesr3', 'Q86yesr4', 'Q86yesr5', 'Q86yesr96', 'Q86yesr97', 'Q86yesr98'",,MultiSelect,,,,,,,
99,"['Q86yesr1', 'Q86yesr2', 'Q86yesr3', 'Q86yesr4', 'Q86yesr5', 'Q86yesr96', 'Q86yesr97', 'Q86yesr98'",Q86A,Block/Force,Single to Multi,Block Q86yes if Q86A not “yes”,Yes,,,,
