ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query,Status,Rows Impacted,Analysis comment
24,"['c2b_91',
     'c2b_92',
     'c2b_93',
     'c2b_94',
     'c2b_95',
     'c2b_96',
     'c2b_97']",c2a09,Block/Force,Single to Multi,ask c2b2 if c2a2 = 1,,,,,
85,"['c2cr9_1', 'c2cr9_2',
  'c2cr9_3', 'c2cr9_4', 'c2cr9_5', 'c2cr9_6', 'c2cr9_7']",,MultiSelect,,,,,,,
54,"['c2cr9_1', 'c2cr9_2',
  'c2cr9_3', 'c2cr9_4', 'c2cr9_5', 'c2cr9_6', 'c2cr9_7']",c2a09,Block/Force,Single to Multi,ask c2cr9 if c2a2 = 1,,,,,
41,"['c2cr9_1', 'c2cr9_2',
  'c2cr9_3', 'c2cr9_4', 'c2cr9_5', 'c2cr9_6', 'c2cr9_7']","['c2b_91',
     'c2b_92',
     'c2b_93',
     'c2b_94',
     'c2b_95',
     'c2b_96',
     'c2b_97']",Parallel Piping,Multi to Multi,ask c2cr9_x if c2b_1x is selected,,,,,
87,"['d1a01',
     'd1a02',
     'd1a03',
     'd1a04',
     'd1a05',
     'd1a06',
     'd1a07',
     'd1a08',
     'd1a09',
     'd1a10',
     'd1a11',
     'd1a12',
     'd1a13',
     'd1a14',
     'd1a15',
     'd1a16',
     'd1a17',
     'd1a18',
     'd1a19',
     'd1a20',
     'd1a21',
     'd1a22',
     'd1a23']",,MultiSelect,,,,,,,
20,"['d1a01',
     'd1a02',
     'd1a03',
     'd1a04',
     'd1a05',
     'd1a06',
     'd1a07',
     'd1a08',
     'd1a09',
     'd1a10',
     'd1a11',
     'd1a12',
     'd1a13',
     'd1a14',
     'd1a15',
     'd1a16',
     'd1a17',
     'd1a18',
     'd1a19',
     'd1a20',
     'd1a21',
     'd1a22',
     'd1a23']",a501,Block/Force,Single to Multi,ask d1a if a501 = 1,,,,,
25,d1a23,"['d1a01',
     'd1a02',
     'd1a03',
     'd1a04',
     'd1a05',
     'd1a06',
     'd1a07',
     'd1a08',
     'd1a09',
     'd1a10',
     'd1a11',
     'd1a12',
     'd1a13',
     'd1a14',
     'd1a15',
     'd1a16',
     'd1a17',
     'd1a18',
     'd1a19',
     'd1a20',
     'd1a21',
     'd1a22',
     'd1a23']",None of the above,,,,,,,
66,d1b,a501,Block/Force,Single to Multi,,,,,,
9,d1b,"['d1a01',
     'd1a02',
     'd1a03',
     'd1a04',
     'd1a05',
     'd1a06',
     'd1a07',
     'd1a08',
     'd1a09',
     'd1a10',
     'd1a11',
     'd1a12',
     'd1a13',
     'd1a14',
     'd1a15',
     'd1a16',
     'd1a17',
     'd1a18',
     'd1a19',
     'd1a20',
     'd1a21',
     'd1a22',
     'd1a23']",Parallel Piping,Multi to Single,block d1b if it's not selected in d1a,,,,,
86,d2,d1b,Block/Force,Single to Single,"ask d2 if d1b is selected, d2 = 6(not asked) is exclusive",,,,,
